Timestamp (seconds),Speed (km/h),Latitude coordinate (degrees),Longitude coordinate (degrees),Altitude (meters),Vertical accuracy (degrees),Horizontal accuracy (degrees),Course (degrees),Difcourse: course variation (degrees),Boolean of system activated (1 if >50km/h),Acceleration in X (Gs),Acceleration in Y (Gs),Acceleration in Z (Gs),Acceleration in X filtered by KF (Gs),Acceleration in Y filtered by KF (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),X: car position relative to lane center (meters),Phi: car angle relative to lane curvature (degrees),W: road width (meters),"State of the lane det. algorithm [-1=calibrating, 0=initializing, 1=undetected, 2=detected/running]",Distance to ahead vehicle in current lane (meters) [value -1 means no car is detected in front],Time of impact to ahead vehicle (seconds) [distance related to own speed],Number of detected vehicles in this frame (traffic),GPS speed (km/h) [same as in RAW GPS],Maximum allowed speed of current road (km/h),"Reliability of obtained maxspeed (0=unknown, 1=reliable, 2=used previously obtained maxspeed,3=estimated by type of road)","Type of road (1, trunk, secondary...)",Number of lanes in current road,"Estimated current lane (1=right lane, 2=first left lane, 3=second left lane, etc) [experimental]",GPS Latitude used to query OSM (degrees),GPS Longitude used to query OSM (degrees),OSM delay to answer query (seconds),GPS speed (km/h) [same as in RAW GPS]],Behavior
22.89,86.8,40.50592,-3.358151,603.7,4,5,276.3,0.703,1,-0.011,-0.014,0.007,-0.028,-0.009,-0.001,-1.532,-0.003,-0.88,0.459,-0.018,3.389,2,15.02,0.62,1,86.8,120,1,1,4,-1,40.505878,-3.357584,1.326,87,0
23.89,86.6,40.505939,-3.358435,603.7,4,5,276.3,0.352,1,0,0.023,-0.017,-0.014,0,-0.003,-1.538,0.015,-0.865,0.453,-0.041,3.256,1,15.86,0.66,1,86.8,120,1,1,4,-1,40.50592,-3.358151,1.688,86.6,0
24.89,86.4,40.505959,-3.358722,603.9,4,5,275.6,0.703,1,-0.046,-0.013,-0.003,-0.046,-0.013,-0.019,-1.526,0.008,-0.852,0.139,-0.068,3.659,2,17.27,0.72,2,86.4,120,1,1,4,-1,40.50592,-3.358151,1.688,86.6,0
25.9,84.9,40.505974,-3.358997,603.3,4,5,274.9,1.406,1,0.015,-0.017,0.007,-0.002,-0.02,0.025,-1.537,0.012,-0.83,0.45,0.041,3.227,2,17.71,0.75,2,84.9,120,1,1,3,-1,40.505959,-3.358723,2.142,84,0
26.87,84,40.505985,-3.359269,603.7,4,5,273.5,2.109,1,-0.025,-0.018,-0.002,-0.014,-0.024,-0.003,-1.543,0.041,-0.798,0.46,0.028,3.318,1,17.63,0.76,2,84,120,1,1,3,-1,40.505959,-3.358723,2.142,84,0
27.89,85,40.505993,-3.359544,603.2,4,5,272.8,2.109,1,0.03,-0.005,-0.008,0.002,-0.039,-0.015,-1.536,0.069,-0.761,0.521,0.011,3.165,2,17.88,0.76,2,85,120,1,1,3,-1,40.505959,-3.358723,2.142,84,0
28.89,84.1,40.505997,-3.359816,603,4,5,270.7,2.812,1,0.022,-0.007,0.024,-0.026,0.01,0.012,-1.533,0.068,-0.73,0.44,-0.025,3.285,2,18.65,0.8,3,84.1,120,1,1,3,-1,40.505993,-3.359544,1.914,84.1,0
29.95,83.9,40.505997,-3.360087,603.7,4,5,269.3,3.516,1,-0.029,0.009,0.002,-0.032,0.021,0.015,-1.547,0.04,-0.717,0.351,0.023,3.352,2,19.35,0.83,3,83.9,120,1,1,3,-1,40.505993,-3.359544,1.914,84.1,0
30.9,84.4,40.505997,-3.360363,602.5,4,5,268.2,2.461,1,0.005,-0.034,0.06,-0.016,-0.016,0.037,-1.563,0.042,-0.685,0.16,0.007,3.207,2,20.2,0.86,3,84.4,120,1,1,3,-1,40.505993,-3.359544,1.914,84.1,0
31.9,84.1,40.505985,-3.360638,601.7,4,5,266.5,2.812,1,-0.016,-0.017,0.057,-0.014,-0.026,0.054,-1.606,0.068,-0.639,-0.121,-0.032,3.175,2,20.9,0.89,3,84.1,120,1,1,3,0,40.505997,-3.360088,3.996,86.2,0
32.9,86.2,40.505955,-3.360917,602.4,4,5,263.7,4.57,1,0.013,0.011,0.038,0.029,-0.002,0.027,-1.63,0.067,-0.593,-0.903,-0.045,3.167,2,20.08,0.86,2,84.1,120,1,1,3,0,40.505997,-3.360088,3.996,86.2,0
33.93,88.9,40.505928,-3.3612,603.7,4,5,262.3,4.219,1,-0.004,0.047,0.012,-0.015,0.077,0.011,-1.642,0.039,-0.575,0,0,3.436,0,-1,-1,2,88.9,120,1,1,3,0,40.505997,-3.360088,3.996,86.2,0
34.91,91.6,40.505894,-3.361497,604.8,4,5,261.9,1.758,1,0,0.003,-0.018,-0.002,0.01,-0.005,-1.632,0.005,-0.565,0,0,3.437,0,-1,-1,2,91.6,120,1,1,3,0,40.505928,-3.3612,1.218,91.6,0
35.87,93.8,40.505852,-3.3618,605.1,4,5,260.5,1.758,1,0.006,0.008,-0.004,-0.002,0,-0.013,-1.619,0.009,-0.545,0.339,0.009,3.249,2,15.77,0.62,2,91.6,120,1,1,3,0,40.505928,-3.3612,1.218,91.6,0
36.9,95.3,40.505806,-3.362112,605.5,4,5,259.5,2.461,1,-0.003,-0.027,0,-0.001,-0.032,-0.016,-1.605,-0.01,-0.531,0.091,-0.045,3.217,2,17.38,0.66,2,95.3,120,1,1,3,0,40.505852,-3.3618,0.858,93.8,0
37.92,96.1,40.505756,-3.362425,605.6,4,5,258.4,2.109,1,0.019,-0.02,-0.022,0.011,-0.033,0.001,-1.593,-0.004,-0.507,-0.11,0.036,3.168,2,19.91,0.75,2,96.1,120,1,1,3,0,40.505806,-3.362112,1.902,96.1,0
38.87,96.9,40.505699,-3.362735,606.2,4,5,257,2.461,1,-0.008,0.026,0.019,-0.006,0.02,0,-1.589,-0.001,-0.495,-0.251,0.068,3.071,2,22.8,0.85,2,96.1,120,1,1,3,0,40.505806,-3.362112,1.902,96.1,0
39.9,98,40.50563,-3.36304,607.1,4,5,255.6,2.812,1,-0.004,-0.009,0.03,-0.006,-0.009,0.01,-1.592,0.017,-0.47,-0.161,0.122,3.261,2,22.81,0.84,1,98,120,1,1,3,0,40.505806,-3.362112,1.902,96.1,0
40.93,98.8,40.505554,-3.363353,606.9,4,5,253.8,3.164,1,-0.004,0.001,0.013,-0.009,-0.001,0.016,-1.604,0.018,-0.452,-0.417,0.018,3.297,2,22.55,0.82,1,98.8,120,1,1,3,0,40.505699,-3.362735,3.796,100.7,0
41.9,100.7,40.50547,-3.363674,607.6,4,5,252.1,3.516,1,0.005,0.057,0.015,-0.011,0.032,0.001,-1.613,0.015,-0.436,-0.331,0.046,3.129,2,23.21,0.83,1,100.7,120,1,1,3,0,40.505699,-3.362735,3.796,100.7,0
42.9,102.5,40.505383,-3.364004,607.9,4,5,250.7,3.164,1,-0.019,-0.014,-0.015,-0.014,-0.011,-0.012,-1.61,0.017,-0.427,-0.299,0.089,3.169,2,24.02,0.84,1,102.5,120,1,1,3,0,40.505699,-3.362735,3.796,100.7,0
43.87,104,40.505291,-3.364334,608.3,4,5,249.3,2.812,1,-0.016,0.011,-0.038,0.012,0.002,-0.027,-1.599,0.025,-0.411,-0.27,0.113,3.257,2,24.76,0.86,1,104,120,1,1,3,0,40.505699,-3.362735,3.796,100.7,0
44.91,105,40.505184,-3.36466,607.8,4,5,247.5,3.164,1,0.001,-0.006,-0.026,0.016,-0.001,-0.034,-1.564,0.027,-0.396,-0.42,0.082,3.394,2,24.51,0.84,1,105,120,1,1,3,0,40.505383,-3.364004,2.913,105,0
45.87,104.6,40.505077,-3.364972,608.1,4,5,245.7,3.516,1,-0.035,0.017,0.004,-0.042,-0.008,0.003,-1.549,0.019,-0.386,-0.281,0.073,3.429,2,23.21,0.8,1,105,120,1,1,3,0,40.505383,-3.364004,2.913,105,0
46.87,104.2,40.504963,-3.365273,608.6,4,5,244,3.516,1,0.012,-0.011,0.023,-0.012,-0.012,0.022,-1.564,0.025,-0.377,-0.219,0.123,3.245,2,22.78,0.79,1,104.2,120,1,1,3,0,40.505077,-3.364972,1.32,104.2,0
47.89,105.3,40.504837,-3.365581,609.6,4,5,242.2,3.516,1,0.009,-0.01,-0.003,-0.027,-0.027,0.008,-1.579,0.037,-0.36,-0.261,0.094,3.211,2,24.44,0.84,2,104.2,120,1,1,3,0,40.505077,-3.364972,1.32,104.2,0
48.88,106.5,40.504715,-3.365886,611,4,5,240.5,3.516,1,-0.003,0.028,-0.009,-0.006,0.029,-0.01,-1.563,0.034,-0.355,-0.341,0.074,3.19,2,23.07,0.78,2,106.5,120,1,1,3,0,40.504837,-3.365581,2.065,107,0
49.87,107,40.504578,-3.366187,610.6,4,5,239.4,2.812,1,0.011,0.017,0.007,0.002,0.023,0.003,-1.548,0.044,-0.359,-0.169,0.114,3.127,2,24.26,0.82,2,107,120,1,1,3,0,40.504837,-3.365581,2.065,107,0
50.88,107,40.504436,-3.366474,610.4,4,5,238.4,2.109,1,0.043,0.047,-0.031,0.005,0.038,-0.018,-1.529,0.052,-0.363,-0.222,0.121,3.35,2,23.92,0.81,2,107,120,1,1,3,0,40.504837,-3.365581,2.065,107,0
51.87,106.3,40.504295,-3.366757,609,4,5,237.7,1.758,1,-0.011,-0.084,0.012,0.007,-0.041,0.019,-1.533,0.055,-0.377,-0.179,0.115,3.308,2,19.89,0.67,2,106.3,120,1,1,3,0,40.504436,-3.366474,1.041,106.3,0
52.87,106.6,40.504143,-3.367037,606.6,4,5,237,1.406,1,0.014,0.015,0.015,-0.012,0.024,0.027,-1.557,0.091,-0.365,-0.474,-0.019,3.095,2,16.44,0.56,2,106.6,120,1,1,3,0,40.504436,-3.366474,1.041,106.3,0
53.87,108.2,40.503979,-3.367324,606.3,4,5,235.5,2.109,1,-0.004,0.055,0.008,-0.013,0.039,0.02,-1.575,0.05,-0.377,-1.127,-0.076,3.177,1,14.5,0.48,2,108.2,120,1,1,3,0,40.504436,-3.366474,1.041,106.3,0
54.87,110.1,40.503819,-3.36762,607,4,5,235.2,1.758,1,0.057,0.048,-0.005,0.016,0.035,0.008,-1.586,0.014,-0.405,0,0,3.36,0,-1,-1,1,108.2,120,1,1,3,0,40.504436,-3.366474,1.041,106.3,0
55.87,112,40.503654,-3.36792,607.9,4,5,235.9,0.703,1,-0.104,-0.004,-0.031,-0.028,0.019,-0.027,-1.58,-0.009,-0.435,0.27,0.03,3.077,2,-1,-1,1,110.1,120,1,1,3,0,40.504436,-3.366474,1.041,106.3,0
56.88,112,40.503498,-3.36822,608.3,4,5,235.9,0.703,1,-0.023,-0.048,-0.022,0.075,-0.027,-0.015,-1.572,-0.015,-0.459,0,0.024,3.117,2,-1,-1,0,112,120,1,1,3,1,40.504143,-3.367038,7.415,115.8,0
57.9,114.5,40.503342,-3.368517,608.8,4,5,237.5,1.607,1,-0.057,-0.037,-0.005,-0.059,-0.03,-0.017,-1.574,-0.019,-0.48,-0.16,0.07,3.311,2,-1,-1,0,114.5,120,1,1,3,1,40.504143,-3.367038,7.415,115.8,0
58.9,115.3,40.503181,-3.368821,609.2,4,5,237.5,1.607,1,-0.031,0.005,-0.004,-0.033,0.015,-0.015,-1.577,-0.005,-0.496,-0.18,0.071,3.206,2,-1,-1,0,115.3,120,1,1,3,1,40.504143,-3.367038,7.415,115.8,0
59.88,115.8,40.503017,-3.369144,610.4,4,5,237.5,0,1,0.002,-0.002,-0.002,0.001,-0.003,-0.005,-1.568,-0.003,-0.513,-0.199,0.054,3.18,2,-1,-1,0,115.8,120,1,1,3,1,40.504143,-3.367038,7.415,115.8,0
60.87,116.7,40.502861,-3.36947,610.1,4,5,236.7,0.765,1,-0.061,0.016,-0.002,-0.019,0.01,-0.008,-1.565,-0.006,-0.53,-0.19,0.027,3.245,2,-1,-1,0,115.8,120,1,1,3,1,40.504143,-3.367038,7.415,115.8,0
61.88,116.9,40.502708,-3.369791,606.3,4,5,237,0.496,1,0.019,0.029,0.004,-0.004,0.019,0.002,-1.566,-0.009,-0.55,-0.11,0.087,3.216,2,-1,-1,0,116.9,120,1,1,3,1,40.502861,-3.369471,1.148,116.9,0
62.87,117.5,40.50256,-3.370119,605.5,4,5,237,0.27,1,0.007,0.002,0,0.024,0.012,-0.001,-1.565,-0.028,-0.576,0.394,0.146,3.191,1,-1,-1,0,117.5,120,1,1,3,1,40.502861,-3.369471,1.148,116.9,0
63.88,118,40.502411,-3.37046,606.3,4,5,238.7,1.701,1,-0.044,-0.033,-0.005,-0.027,-0.044,-0.004,-1.559,-0.008,-0.593,1.31,0.152,3.223,2,-1,-1,0,118,120,1,1,3,1,40.50256,-3.37012,2.661,118.5,0
64.88,118.5,40.502266,-3.370798,606,3,5,239.1,2.053,1,0.042,-0.019,-0.007,0,-0.008,-0.009,-1.558,0.004,-0.599,0,0,3.321,0,-1,-1,0,118.5,120,1,1,3,1,40.50256,-3.37012,2.661,118.5,0
65.9,119,40.502117,-3.371135,605.5,3,5,239.1,0.352,1,-0.044,-0.037,-0.009,-0.022,-0.031,-0.004,-1.556,0.051,-0.59,-0.349,0.063,3.452,2,-1,-1,0,119,120,1,1,3,1,40.50256,-3.37012,2.661,118.5,0
66.89,119.2,40.501953,-3.371472,604.9,3,5,238,1.055,1,0.013,0.01,-0.037,0.003,-0.014,-0.022,-1.54,0.048,-0.584,-0.04,0.109,3.468,2,199.96,6.04,1,119.2,120,1,1,3,1,40.502117,-3.371136,0.864,119,0
67.88,118.5,40.501789,-3.371799,604.4,3,5,237.7,1.406,1,-0.022,0.034,-0.001,-0.021,0.026,-0.017,-1.522,0.031,-0.586,-0.04,0.106,3.416,2,-1,-1,1,118.5,120,1,1,3,1,40.502117,-3.371136,0.864,119,0
68.89,117.5,40.501633,-3.372122,603.7,3,5,237.3,0.703,1,-0.027,0.029,0.013,-0.027,0.02,0.014,-1.525,0.037,-0.585,-0.01,0.041,3.498,2,-1,-1,2,117.5,120,1,1,3,1,40.501953,-3.371473,2.767,117.5,0
69.88,117.1,40.501469,-3.37244,603.9,3,5,237.3,0.352,1,-0.014,0.031,0.018,0.004,0.016,0.012,-1.532,0.02,-0.591,0.02,0.006,3.429,2,-1,-1,1,117.1,120,1,1,3,1,40.501953,-3.371473,2.767,117.5,0
70.9,116.8,40.501308,-3.372756,602.4,3,5,237.3,0,1,-0.005,0.001,-0.001,-0.023,0.01,-0.003,-1.536,0.012,-0.595,0,0.031,3.486,2,-1,-1,2,117.1,120,1,1,3,1,40.501469,-3.372441,0.85,117.1,0
71.88,116.4,40.501148,-3.373082,602.4,3,5,237.3,0,1,-0.033,-0.039,0.013,0.006,-0.015,0.002,-1.539,0.026,-0.596,0.091,0.073,3.39,2,-1,-1,1,116.4,120,1,1,3,1,40.501308,-3.372756,1.698,116.4,0
72.88,116.3,40.500992,-3.373397,601.6,3,5,237.3,0,1,-0.004,0.009,0.009,-0.006,0.026,0.008,-1.538,0.005,-0.602,-0.01,0.041,3.358,1,-1,-1,1,116.4,120,1,1,3,1,40.501308,-3.372756,1.698,116.4,0
73.96,116.2,40.500832,-3.373708,601.4,3,5,237.3,0,1,-0.011,-0.006,-0.004,-0.001,-0.01,0.005,-1.542,0.019,-0.602,-0.02,0.097,3.474,2,-1,-1,1,116.2,120,1,1,3,1,40.500992,-3.373398,2.169,116.6,0
74.89,116.6,40.50066,-3.374033,602.1,3,5,237.3,0,1,-0.022,0.002,0.019,-0.008,0.005,0.009,-1.542,0.026,-0.598,0.03,0.071,3.342,2,-1,-1,0,116.6,120,1,1,3,1,40.500992,-3.373398,2.169,116.6,0
75.88,117.2,40.500507,-3.374349,600.7,3,5,237.3,0,1,-0.003,-0.001,0.026,0.005,0.004,0.01,-1.55,0.014,-0.599,0,0.088,3.368,1,-1,-1,0,116.6,120,1,1,3,1,40.500992,-3.373398,2.169,116.6,0
76.9,116.7,40.500347,-3.374666,600.8,3,5,237,0.352,1,0.024,-0.005,-0.018,0.01,0.007,-0.018,-1.539,0.02,-0.596,-0.189,0.063,2.802,1,-1,-1,0,116.7,120,1,1,3,1,40.500507,-3.37435,1.509,116.7,0
77.88,116.2,40.500183,-3.374978,601.5,4,5,236.6,0.703,1,0.093,-0.003,-0.025,0.017,-0.012,-0.025,-1.522,0.026,-0.594,-0.268,0.059,2.842,2,-1,-1,1,116.7,120,1,1,3,1,40.500507,-3.37435,1.509,116.7,0
78.93,114.6,40.500023,-3.375287,602.2,4,5,236.6,0.352,1,-0.049,0.017,0.008,-0.028,0.027,0.006,-1.517,0.007,-0.596,0,0.137,3.274,2,-1,-1,1,114.6,120,1,1,3,1,40.500183,-3.374978,2.306,114.1,0
79.89,114.1,40.499866,-3.375598,598.2,4,5,237.3,0.703,1,-0.037,0.049,-0.013,-0.043,0.028,-0.008,-1.525,-0.016,-0.609,0.07,0.121,3.359,2,-1,-1,1,114.1,120,1,1,3,1,40.500183,-3.374978,2.306,114.1,0
80.89,112.9,40.499718,-3.375908,597.7,4,5,238.4,1.758,1,-0.089,-0.048,-0.002,-0.016,-0.033,0.008,-1.527,-0.027,-0.623,1.124,0.17,3.403,2,22.99,0.73,1,112.9,120,1,1,3,1,40.500183,-3.374978,2.306,114.1,0
81.88,113.3,40.499569,-3.376226,598,4,5,238,0.703,1,0.065,-0.009,0.001,0.03,-0.03,0,-1.531,0.007,-0.61,0,0,3.281,0,-1,-1,1,113.3,120,1,1,3,1,40.499718,-3.375909,1.458,113.3,0
82.89,113.3,40.49942,-3.376548,598.3,4,5,237.3,1.055,1,-0.076,-0.011,0.018,-0.062,-0.002,0.009,-1.532,0.029,-0.601,0,0,3.277,0,-1,-1,1,113.3,120,1,1,3,1,40.499718,-3.375909,1.458,113.3,0
83.88,113.2,40.499264,-3.376857,597.8,3,5,237,1.055,1,0.036,0.022,-0.013,0.012,0.023,-0.009,-1.531,0.043,-0.595,-0.353,0.02,3.381,2,-1,-1,1,113.2,120,1,1,3,1,40.499718,-3.375909,1.458,113.3,0
84.9,113,40.499107,-3.377169,597.4,3,5,236.6,0.703,1,0.078,0.031,0.002,0.012,0.021,-0.008,-1.534,0.039,-0.589,-0.279,0.065,3.477,2,-1,-1,1,113,120,1,1,3,1,40.499718,-3.375909,1.458,113.3,0
85.87,111.8,40.498951,-3.377475,597.3,3,5,236.6,0.352,1,-0.081,0,-0.026,0.005,0.038,-0.024,-1.523,0.038,-0.588,-0.169,0.099,3.428,2,-1,-1,1,113,120,1,1,3,1,40.499718,-3.375909,1.458,113.3,0
86.87,110.6,40.498802,-3.377782,596.7,3,5,236.6,0,1,0.002,-0.028,-0.021,0.026,0.01,0.001,-1.53,0.039,-0.59,0.05,0.046,3.329,2,88.73,2.86,1,111.8,120,1,1,3,1,40.49942,-3.376549,7.513,108.6,0
87.89,109.6,40.49865,-3.378084,595.8,3,5,236.6,0,1,-0.054,0.022,-0.016,-0.041,0.019,-0.015,-1.527,0.033,-0.591,0.02,0.102,3.7,1,98.4,3.23,1,109.6,120,1,1,3,1,40.49942,-3.376549,7.513,108.6,0
88.91,109.4,40.498497,-3.378378,595.5,4,5,236.6,0,1,0.028,0.031,0.011,0.012,0.013,0.005,-1.522,0.036,-0.59,0.231,0.052,3.327,2,103.74,3.41,1,109.4,120,1,1,3,1,40.49942,-3.376549,7.513,108.6,0
89.89,108.6,40.498341,-3.378677,595.4,4,5,236.2,0.352,1,-0.03,-0.036,-0.011,-0.03,-0.013,0.01,-1.534,0.032,-0.589,0.32,0.001,3.366,2,102.97,3.41,1,108.6,120,1,1,3,1,40.49942,-3.376549,7.513,108.6,0
90.89,109.3,40.498184,-3.378973,594.7,4,5,236.2,0.352,1,-0.02,-0.019,0.011,-0.027,-0.019,0,-1.536,0.03,-0.588,0.35,0.018,3.352,2,101.72,3.37,1,108.6,120,1,1,3,1,40.49942,-3.376549,7.513,108.6,0
91.89,108.4,40.498035,-3.379266,594.6,4,5,235.9,0.352,1,0.033,0.001,-0.014,-0.005,-0.001,-0.014,-1.523,0.027,-0.587,0.27,-0.034,3.384,2,199.92,6.64,1,108.4,120,1,1,3,1,40.498184,-3.378973,1.379,108.4,0
92.89,107,40.497887,-3.379556,594.7,3,5,235.9,0.352,1,-0.014,-0.036,0.031,-0.01,-0.025,0.034,-1.533,0.029,-0.585,0.04,-0.018,3.357,1,196.51,6.61,1,107,120,1,1,3,1,40.498184,-3.378973,1.379,108.4,0
93.89,107.9,40.497738,-3.379848,595,3,5,235.5,0.352,1,0.018,-0.035,0.022,0.003,-0.032,0.029,-1.558,0.042,-0.574,-0.279,-0.048,3.369,2,155.43,5.19,1,107.9,120,1,1,3,1,40.497887,-3.379556,1.41,107.9,0
94.89,109,40.497585,-3.380155,593.6,3,5,234.5,1.406,1,0.043,0.014,0.018,0.002,-0.006,0.009,-1.573,0.057,-0.56,-1.152,-0.061,3.38,2,86.85,2.87,2,109,120,1,1,3,1,40.497887,-3.379556,1.41,107.9,0
95.92,109.7,40.497425,-3.380449,593.3,3,5,234.1,1.406,1,0.02,0.114,-0.006,-0.007,0.101,0.002,-1.585,0.018,-0.566,0,0,3.293,0,6.85,0.22,2,109.7,120,1,1,3,1,40.497887,-3.379556,1.41,107.9,0
96.96,112,40.497265,-3.380762,593.3,3,5,235.2,1.055,1,-0.044,0.004,-0.023,-0.045,0.011,-0.023,-1.574,-0.008,-0.588,0.629,0.017,3.283,2,9.47,0.3,1,112,120,1,1,3,1,40.497887,-3.379556,1.41,107.9,0
97.9,112.2,40.497093,-3.381074,593.2,3,5,235.5,1.406,1,-0.044,0.011,-0.027,-0.004,0.011,-0.017,-1.557,-0.011,-0.599,0.137,0.029,3.23,2,11.57,0.37,1,112,120,1,1,3,2,40.497585,-3.380156,5.148,112.8,0
98.9,112.1,40.496937,-3.381377,592.9,3,5,236.6,1.406,1,0.067,-0.009,-0.008,0.011,-0.002,-0.003,-1.554,-0.008,-0.61,0.152,-0.03,3.354,2,12.96,0.42,1,112.2,120,1,1,3,2,40.497585,-3.380156,5.148,112.8,0
99.88,112.8,40.496784,-3.381671,593.5,3,5,236.2,0.703,1,0,-0.013,-0.022,-0.034,-0.033,-0.008,-1.554,0.006,-0.607,0.171,0.01,3.326,2,14.85,0.47,1,112.8,120,1,1,3,2,40.497585,-3.380156,5.148,112.8,0
100.87,113,40.496628,-3.381976,596,3,5,236.6,0.352,1,-0.071,0.018,-0.01,-0.032,0.039,0.009,-1.567,-0.016,-0.625,0.259,0.045,3.4,2,16.72,0.53,1,112.8,120,1,1,3,2,40.496628,-3.381976,0.605,113,0
101.9,113.4,40.496475,-3.382278,592.5,3,5,237.7,1.406,1,0.01,0.046,-0.003,-0.004,0,0.002,-1.569,-0.022,-0.64,1.148,0.123,3.428,2,18.39,0.59,1,113,120,1,1,3,2,40.496628,-3.381976,0.605,113,0
102.87,114.5,40.496323,-3.382595,593,4,5,237.7,1.055,1,-0.069,-0.046,-0.013,-0.013,-0.048,-0.002,-1.565,0.018,-0.633,0,0,3.299,0,-1,-1,1,113.4,120,1,1,3,1,40.496475,-3.382278,1.013,114.5,0
103.87,114.8,40.496166,-3.382903,593.7,3,5,236.6,1.055,1,0.038,-0.052,0.003,0.014,-0.043,0.004,-1.561,0.06,-0.612,-0.27,-0.043,2.977,2,-1,-1,1,114.5,120,1,1,3,1,40.496166,-3.382904,0.746,114.8,0
104.87,114.2,40.496006,-3.383219,594,3,5,235.5,2.109,1,0.012,0.014,-0.001,-0.003,0.007,-0.001,-1.559,0.056,-0.599,-0.09,0.076,3.266,2,-1,-1,1,114.8,120,1,1,3,1,40.496166,-3.382904,0.746,114.8,0
105.87,114.5,40.495846,-3.383532,593.6,3,5,234.8,1.758,1,0.003,-0.03,0.016,-0.001,-0.016,0.008,-1.552,0.062,-0.586,0.14,0.05,3.272,2,-1,-1,1,114.2,120,1,1,3,1,40.496006,-3.383219,0.777,114.2,0
